Question,Answer
Does every employer have to send data to the BLS?,"No, each year, the BLS sends injury and illness survey forms to randomly selected employers and uses the information to create the Nation's occupational injury and illness statistics. In any year, some employers will receive a BLS survey form and others will not. You do not have to send injury and illness data to the BLS unless you receive a survey form."
Does loss of an eye include loss of sight?,"No. Loss of sight without the physical removal of the eye is not reportable under the requirements of section 1904.39. However, a case involving loss of sight that results in the in-patient hospitalization of the worker within 24 hours of the work-related incident is reportable."
Does OSHA have a complete list of Standard Industrial Classification (SIC) codes in Excel format available on its web site?,"No. However, an Excel file containing the 1987 SIC codes is available on the Census' web site athttps://www.census.gov/eos/www/naics/concordances/concordances.html"
"Does OSHA require a separate record, other than on the 300 form, for needle sticks and exposures?",The employer can use the OSHA 300 to meet the bloodborne standard requirements as long as you provide the type and brand of the device causing the sharps injury on the log.
Does the 180 day cap include both lost work days and restricted days or should each be capped at 180 days?,You may stop counting days away from work and days of restricted work activity once the combination of both reaches 180 days.
"Does the administration of oxygen in a hospital or by an EMT as a result of inhalation of smoke at the workplace during an accident count as medical treatment and, thus, OSHA recordable?","Yes. If the employee exposed to the smoke exhibits symptoms of an injury or illness, such as respiratory distress, the administration of oxygen makes the case recordable."
Does the diagnosis by a physician of a chipped bone constitute a recordable injury as is a fractured bone?,Yes. Diagnosis of a work-related chipped bone is considered a significant injury and is a recordable case.
Does the employer decide if an injury or illness is a privacy concern case?,"Yes. The employer must decide if a case is a privacy concern case, using 1904.29(b)(7), which lists the six types of injuries and illnesses the employer must consider privacy concern cases. If the case meets any of these criteria, the employer must consider it a privacy concern case. This is a complete list of all injury and illnesses considered privacy concern cases."
"Does the employer have to record a work-related injury and illness, if an employee experiences minor musculoskeletal discomfort, the health care professional determines that the employee is fully able to perform all of his or her routine job functions, but the employer assigns a work restriction to the injured employee?","As set out in Chapter 2, I., F. of the Recordkeeping Policies and Procedures Manual (CPL 2-0.131) a case would not be recorded under section 1904.7(b)(4) if 1) the employee experiences minor musculoskeletal discomfort, and 2) a health care professional determines that the employee is fully able to perform all of his or her routine job functions, and 3) the employer assigns a work restriction to that employee for the purpose of preventing a more serious condition from developing. If a case is or becomes recordable under any other general recording criteria contained in section 1904.7, such as medical treatment beyond first aid, a case involving minor musculoskeletal discomfort would be recordable."
"Does the form 300A need to be mailed to OSHA by a certain date? If so, when is this date? Where should it be mailed to?","Keep the form on file at your establishment for the 5 year retention period. Beginning in 2017, some employers will be required to submit information from their forms to OSHA. Seewww.osha.gov/injuryreporting/index.htmlfor further information."
Does the OSHA 300 log fall under the Health Insurance Portability and Accountability Act (HIPAA) to keep patient's medical information private and confidential?,No. Please seehttp://www.osha.gov/pls/oshaweb/owadisp.show_document?p_table=INTERPRET…for a detailed discussion.
Does the OSHA Form 300A Summary page that was posted need to be submitted to OSHA directly as well as posted?,"Keep the form on file at your establishment for the 5 year retention period. Beginning in 2017, some employers will be required to submit information from their forms to OSHA. Seewww.osha.gov/injuryreporting/index.htmlfor further information."
Does the professional status of the person providing the treatment have any effect on what is considered first aid or medical treatment?,"No, OSHA considers the treatments listed in § 1904.7(b)(5)(ii) of this Part to be first aid regardless of the professional status of the person providing the treatment. Even when these treatments are provided by a physician or other licensed health care professional, they are considered first aid for the purposes of Part 1904. Similarly, OSHA considers treatment beyond first aid to be medical treatment even when it is provided by someone other than a physician or other licensed health care professional"
"Does the repair of a crown on a person's tooth qualify as ""medical treatment"" for recordkeeping purposes?","If an employee chips or breaks a crown, it is a recordable case if it results in any of the following: medical treatment beyond first aid; restricted work activity; job transfer; loss of consciousness; or days away from work. Repair of the crown itself is not considered medical treatment. However, if the employee requires prescription medications during the repair, the case would be recordable."
Does the rule allow an employer to have an employee incentive program?,"This rule does not prohibit incentive programs. However, employers must not create incentive programs that deter or discourage an employee from reporting an injury or illness. Incentive programs should encourage safe work practices and promote worker participation in safety-related activities."
Does the size or degree of a burn determine recordability?,"No, the size or degree of a work-related burn does not determine recordability. If a work-related first, second, or third degree burn results in one or more of the outcomes in section 1904.7 (days away, work restrictions, medical treatment, etc.), the case must be recorded."
Does the use of a TENS device constitute medical treatment for record keeping purposes?,Treatments listed under 1904.7(b)(5)(ii) is a complete list of treatments considered first aid for recordkeeping purposes. Transcutaneous Electrical Nerve Stimulation (TENS) does not fit in any of the treatment categories of the first aid list and is considered medical treatment for recordkeeping purposes.
Does the use of Dermabond in repairing a laceration make it a recordable injury?,"Yes, surgical glues, like Dermabond are considered medical treatment. Steri strips and butterfly bandages are the only wound closures considered first aid."
"Does this mean that I must record all cuts, lacerations, punctures, and scratches?","No, you need to record cuts, lacerations, punctures, and scratches only if they are work-related and involve contamination with another person's blood or other potentially infectious material. If the cut laceration, or scratch involves a clean object, or a contaminant other than blood or other potentially infectious material, you need to record the case only if it meets one or more of the recording criteria in 1904.7."
Does using a magnet to remove metallic particles from the eye constitute medical treatment?,"Yes, using a magnet to remove metallic particles from the eye constitutes medical treatment."
"Employee X is injured when he is stung by a bee at work, and he reports the injury to Employer. Employer disciplines Employee X for violating a work rule requiring employees to ""maintain situational awareness."" Employer only enforces the rule when employees get hurt. Did Employer violate 1904.35(b)(1)(iv) by disciplining Employee X for reporting a bee sting injury?","Yes. This is an example of a pretextual disciplinary action, which is prohibited. In this case, although Employer ostensibly disciplined Employee X for violating a work rule, Employer only enforced the work rule after a work-related injury or illness report, which indicates that the real reason for the discipline was the reported injury, not the rule violation. Such vague work rules are particularly susceptible to being enforced disproportionately against employees who report work-related injuries or illnesses because they do not require or proscribe specific conduct."
"Employee X reports a hand injury that she sustained while operating a saw after bypassing the guard on the saw, contrary to the employer's work rule. Employee X's hand injury required her to miss work for two days. Employer disciplined Employee X for bypassing the guard contrary to its instructions. Employer regularly monitors its workforce for safety rule violations and disciplines employees who bypass machine guards regardless of whether they report injuries. Did Employer violate 1904.35(b)(1)(iv) when it disciplined Employee X?","No. Section 1904.35(b)(1)(iv) does not prohibit employers from disciplining employees who violate legitimate workplace safety rules as long as the rules are not used as a pretext for retaliating against employees who report work-related injuries or illnesses. On the contrary, OSHA encourages employers to implement workplace safety rules, train employees on those rules, and take consistent, appropriate action when employees violate them regardless of whether the employees violating the rules reported injuries."
"Employee X twists her ankle at work but does not immediately realize that she is injured because her ankle is not painful or swollen, and therefore she does not report the injury to Employer. The next morning, Employee X's ankle is painful and swollen and she realizes it is the kind of injury she is required to report to Employer as soon as practicable. However, Employee X does not report the injury after this realization, although she easily could have, and instead reports it several weeks later. Employer disciplines Employee X for failing to report her injury as soon as practicable after realizing she has the kind of injury she is required to report. Did Employer violate 1904.35(b)(1)(iv) by disciplining Employee X for failing to report a work-related injury or illness as soon as practicable after realizing she had a work-related injury?",No. OSHA recognizes that employers have a legitimate business interest in learning about employee injuries close in time to when they occur or become manifest. Employers may require employees to report work-related injuries or illnesses as soon as practicable after they realize they have a work-related injury serious enough to report. Note: a reporting procedure that requires employees to report as soon as practicable after they realize they have the kind of injury or illness they are required to report is reasonable and therefore would also not violate section 1904.35(b)(1)(i).
"Employee X twists his ankle at work but does not immediately realize that he is injured because his ankle is not sore or swollen, and therefore he does not report the injury to Employer. The next morning, Employee X's ankle is sore and swollen, and he realizes he has the kind of injury he is required to report to Employer. He reports the injury to the employer that day. Employer disciplines Employee X for failing to report his injury ""immediately"" as required by Employer's X's injury reporting rules. Did Employer violate 1904.35(b)(1)(iv) by disciplining Employee X for failing to report his injury immediately even though Employee X did not immediately realize he was injured?","Yes. Employer's rigid prompt reporting requirement would violate section 1904.35(b)(1)(i) because it fails to account for injuries that build up over time. In addition, taking adverse action against an employee under such a policy as described in this example would also constitute a pretextual disciplinary action, which is prohibited under section 1904.35(b)(1)(iv). In this case, although Employer ostensibly took the adverse action because Employee X violated a work rule, the work rule was not reasonable and therefore does not constitute a legitimate business reason for taking adverse action against an employee who reports a work-related injury or illness. Although employers may require employees to report as soon as practicable after realizing they have a work-related injury or illness, it is not practicable for an employee to report an injury that has not yet manifested."
"Employee X was injured when he inadvertently drove a forklift into a piece of stationary equipment, and he reported the injury to Employer. Employer required Employee X to take a drug test. Did Employer violate section 1904.35(b)(1)(iv) for drug testing Employee X?","No. Because Employee X's conduct-the manner in which he operated the forklift-contributed to his injury, and because drug use can affect conduct, it was objectively reasonable to require Employee X to take a drug test after Employer learned of his injury. Drug testing an employee who engaged in conduct that caused an injury is objectively reasonable because conduct can be affected by drug use."
"Employer drug tests all employees who report work-related injuries to the employer to get a 5% reduction in its workers' compensation premiums under the state's voluntary Drug-Free Workplace program. Employer drug tests Employee X when she reports a work-related injury that could not reasonably have been caused by drug use, such as a bee sting or carpal tunnel syndrome. Did Employer violate section 1904.35(b)(1)(iv) by drug testing Employee X?","No. Drug testing conducted pursuant to a state workers' compensation law, whether voluntary or mandatory, is not affected by section 1904.35(b)(1)(iv)."
"Employer holds a party for all employees who complete a safety training course. Employee X failed to attend the training because she was absent from work due to a work-related injury that she reported. Employer excluded Employee X from the training-completion party because she did not complete the training. Employer consistently excluded all employees who failed to complete a training course from the training-completion party regardless of why they failed to complete the training, including those who were on vacation or absent because of a non-work-related injury or illness. Did Employer violate 1904.35(b)(1)(iv) by excluding Employee X from the party?","No. In this case Employer excluded Employee X from the party because Employee X did not complete the safety training, not simply because Employee X reported a work-related injury. OSHA encourages employers to celebrate workplace safety achievements such as completing safety training and complying with legitimate workplace safety rules."
"Employer informs its employees that it will hold a substantial cash prize drawing for each work group at the end of each month in which all members of the work group comply with applicable safety rules, such as wearing required fall protection. Employee X sustains a lost-time injury when he falls from a platform while not wearing required fall protection, and he reports the injury to Employer. Employer cancels the cash prize drawing for Employee X's work group that month because Employee X failed to wear required fall protection. Employer actively monitors its workforce for compliance with applicable work rules and cancels the cash prize drawings when it discovers work rule violations regardless of whether the employee who violated the work rule also reported an injury. Did Employer violate 1904.35(b)(1)(iv) when it cancelled the cash prize drawing for Employee X's work group because Employee X failed to wear required fall protection?","No. In this case, Employer cancelled the cash prize drawing because Employee X violated a legitimate work rule, not because he reported a work-related injury. OSHA encourages employers to enforce legitimate workplace safety rules by monitoring for compliance with those rules and taking consistent, appropriate corrective action when violations occur whether or not the employee who violated the rule also reported an injury."
"Employer informs its employees that it will hold a substantial cash prize drawing for each work group at the end of each month in which all members of the work group comply with applicable safety rules, such as wearing required fall protection. Employee X sustains a lost-time injury when he falls from a platform while not wearing required fall protection. Employer cancels the cash prize drawing for Employee X's work group that month ostensibly because Employee X failed to wear required fall protection. However, Employer's employees routinely fail to wear required fall protection but the only time Employer cancels the cash prize drawing is when an employee reports an injury. Did Employer violate 1904.35(b)(1)(iv) when it cancelled the cash prize drawing for Employee X's work group because Employee X failed to wear required fall protection?","Yes. This is an example of a pretextual disciplinary action, which is prohibited. Although Employer ostensibly took the adverse action because Employee X violated a legitimate work rule, Employer failed to take the same action when other employees violated the same work rule without reporting an injury. Employer treated employees who engaged in the same unsafe conduct differently based on whether they reported an injury to the employer, which indicates that the real reason Employer took the adverse action against Employee X was because of the injury report, not because of the work rule violation."
Employer informs its employees that it will hold a substantial cash prize drawing for each work group at the end of each month in which no employee in the work group sustains a lost-time injury. Employee X reports an injury that she sustained while operating a mechanical power press. Employee X did not violate any employer safety rules when she sustained her injury. Employee X's injury requires her to miss work for two days. Employer cancels the cash prize drawing for that month for Employee X's work group because of Employee X's lost-time injury. Did Employer violate 1904.35(b)(1)(iv) when it cancelled the cash prize drawing for Employee X's work group because of a lost-time injury that was sustained while Employee X was following the employer's work rules?,"Yes. Cancelling a substantial cash prize drawing solely because an employee was injured and reported the injury, without regard to the circumstances surrounding the injury, would likely violate section 1904.35(b)(1)(iv). In this case, the employer retaliated against the employee (by cancelling a substantial cash prize drawing) because the employee engaged in protected activity (reporting her injury to the employer). This type of activity may also discourage reporting because a worker may feel pressure from coworkers not to cancel the drawing, or may be reluctant to report out of loyalty to those coworkers."
"Employer required Employee X to take a drug test after Employee X reported work-related carpal tunnel syndrome. Employer had no reasonable basis for suspecting that drug use could have contributed to her condition, and it had no other reasonable basis for requiring her to take a drug test. Rather, Employer routinely subjects all employees who report work-related injuries to a drug test regardless of the circumstances surrounding the injury. The state workers' compensation program applicable to Employer did not address drug testing, and no other state or federal law requires Employer to drug test employees who sustain injuries at work. Did Employer violate section 1904.35(b)(1)(iv) by subjecting Employee X to a drug test simply because she reported a work-related injury?","Yes. Section 1904.35(b)(1)(iv) prohibits an employer from taking adverse action against employees simply because they report work-related injuries. Rather, employers must have a legitimate business reason for requiring a drug test, such as a reasonable belief that drug use contributed to the injury. If drug use could not reasonably have contributed to a particular injury and the employer has no other reasonable basis for requiring a drug test, section 1904.35(b)(1)(iv) prohibits the employer from drug testing employees simply because they report injuries unless the drug test is conducted pursuant to a state workers' compensation law or other state or federal law."
"Employer requires all employees who report lost-time injuries to take a drug test because the employer's private insurance carrier provides discounted rates to employers that implement such a drug-testing policy. The relevant rate discount provisions in the private policy are identical to those in the applicable state workers' compensation law. Employer drug tests Employee X when she reports a lost-time injury that could not reasonably have been caused by drug use, such as a bee sting or carpal tunnel syndrome. Would OSHA cite Employer for violating section 1904.35(b)(1)(iv) in these circumstances by drug testing Employee X to secure lower private insurance premiums?","No. To maintain consistency between public and private worker's compensation coverage in the same state, OSHA will not cite employers under section 1904.35(b)(1)(iv) who conduct post-accident drug testing under private party policies that mirror the applicable state workers' compensation law."
"Employer requires all employees who report lost-time injuries to take a drug test regardless of whether drug use could have contributed to the injury because the drug testing requirement is included in the collective bargaining agreement at the workplace. Employer drug tests Employee X (who is covered by the collective bargaining agreement) when she reports a lost-time injury that could not reasonably have been caused by drug use, such as a bee sting or carpal tunnel syndrome. The employer had no reasonable basis for suspecting that drug use could have contributed to her injury and had no other reasonable basis for requiring the test. Did Employer violate section 1904.35(b)(1)(iv) by drug testing Employee X pursuant to a collective bargaining agreement?","Yes. Section 1904.35(b)(1)(iv) prohibits an employer from taking adverse action against employees simply because they report work-related injuries absent a reasonable belief that drug use could have contributed to the injury or another reasonable basis for requiring a drug test. Although OSHA does not intend for section 1904.35(b)(1)(iv) to supersede other state or federal programs addressing post-injury drug testing of employees, collective bargaining agreements may not supersede section 1904.35(b)(1)(iv)."
Employers must record injuries and illnesses that occur to employees who are not on their payroll if they supervise these employees on a day-to-day basis. Define supervising work on a day-to-day basis.,"The host employer must record the recordable injuries and illnesses of employees not on its payroll if it supervises them on a day to day basis. Day to day supervision occurs when ""in addition to specifying the output, product or result to be accomplished by the person's work, the employer supervises the details, means, methods and processes by which the work is to be accomplished."""
"For medications that have both prescription and non-prescription strengths, how to I determine what level is first aid and what level is medical treatment?",OSHA considers over-the-counter medication to be at non-prescription strength as it is described on the label of the medication. A dosage greater than that described on the over-the-counter medication label is considered prescription strength and medical treatment for OSHA recordkeeping purposes.
"For the 10 employees or less recordkeeping exemption, what is the criteria for distinguishing between an individual business establishment that is part of a larger company, and a completely unique company? If a business establishment is separately incorporated, is that adequate to demonstrate a separate and unique company?","Yes, a separately incorporated business is evaluated as a unique company when determining firm size under Part 1904.1."
"From time to time, emergency department employees encounter patients with suspected meningitis. As a result, the employee receives a prescription to reduce their chances of contracting meningitis. If the employee receives a prescription of antibiotics as a precaution and the final tests from the patient indicate no meningitis exposure, is this example a recordable illness?","No. To be recordable on the OSHA log an injury or illness must exist. Exposures without signs or symptoms of the illness are not recordable, even if medical treatment is administered."
How can I find out if my State has an OSHA-approved plan?,"The following States have OSHA-approved plans: Alaska, Arizona, California, Hawaii, Indiana, Iowa, Kentucky, Maryland, Michigan, Minnesota, Nevada, New Mexico, North Carolina, Oregon, Puerto Rico, South Carolina, Tennessee, Utah, Vermont, Virginia, Washington, and Wyoming. Connecticut, New Jersey, Illinois, Maine, the Virgin Islands and New York have plans that cover State and local government employees only."
"How do I calculate my recordable incidence rate if I have under 100 employees? Currently I take the number of incidence X 200,000 divided by Hours worked. Could I divide the 200,000 by the actual number of employees to ensure that I don't get a falsely bloated incidence rate?","The 200,000 hours in the formula represents the equivalent of 100 employees working 40 hours per week, 50 weeks per year, and provides the standard base for the incidence rates. This constant is used to calculate incidence rates per 100 FTE to show the relative level of injuries and illnesses among firms of different employment size groups. In other words, the constant divided by the Hours Worked figure normalizes your firm size so comparisons can be made. This holds true for establishments with less than 100 workers as well as establishment with more than 100 workers. You should not change the constant if you are going to compare your establishment incidence rate to the BLS industry rates."
"How do I calculate the ""total hours worked"" on my annual summary when I have both hourly and temporary workers?","To calculate the total hours worked by all employees, include the hours worked by salaried, hourly, part-time and seasonal workers, as well as hours worked by other workers you supervise (e.g., workers supplied by a temporary help service). Do not include vacation, sick leave, holidays, or any other non-work time even if employees were paid for it. If your establishment keeps records of only the hours paid or if you have employees who are not paid by the hour, you must estimate the hours that the employees actually worked."
How do I certify the annual summary?,"A company executive must certify that he or she has examined the OSHA 300 Log and that he or she reasonably believes, based on his or her knowledge of the process by which the information was recorded, that the annual summary is correct and complete."
How do I classify medical removal cases on the OSHA 300 Log?,"You must enter each medical removal case on the OSHA 300 Log as either a case involving days away from work or a case involving restricted work activity, depending on how you decide to comply with the medical removal requirement. If the medical removal is the result of a chemical exposure, you must enter the case on the OSHA 300 Log by checking the ""poisoning"" column."
"How do I count days away from work for an employee who works on an as-needed/as available basis? She has been incapacitated due to on-the-job injury since mid-September, which totals approximately eighty calendar days. However, had she been able to work, the employee would probably have worked only about ten days.","You must count the number of calendar days the employee is unable to work, regardless of schedule. In this case, enter 80 days."
How do I count days of job transfer or restriction?,"You count days of job transfer or restriction in the same way you count days away from work, using 1904.7(b)(3)(1) to (viii), above. The only difference is that, if you permanently assign the injured or ill employee to a job that has been modified or permanently changed in a manner that eliminates the routine functions the employee was restricted from performing, you may stop the day count when the modification or change is made permanent. You must count at least one day of restricted work or job transfer for such cases."
How do I count lost time days for a part time employee. We have a part time worker (2-4 days / week) who is injured and will miss some work. Do we count by straight calendar days? Or do we count by the number of days the part time worker was scheduled to work and could not work because of the injury?,"You must count the number of calendar days, regardless of whether the employee was scheduled to work on those days."
"How do I count the number of days an employee was off work due to a workplace injury when the employee works on a part-time, as-needed basis?","You must count the number of calendar days the employee was unable to work as a result of the injury or illness, regardless of whether or not the employee was scheduled to work on those day(s). This applies to employees who work on a part-time or as needed basis as well as to full time employees. You may end the count of days away from work when the employee is capable to return."
"How do I count weekends, holidays, or other days the employee would not have worked anyway?","You must count the number of calendar days the employee was unable to work as a result of the injury or illness, regardless of whether or not the employee was scheduled to work on those day(s). Weekends days, holidays, vacation days or other days off are included in the total number of days recorded if the employee would not have been able to work on those days because of work-related injury and illness."
How do I decide if a case is work-related when the employee is working at home?,"Injuries and illnesses that occur while an employee is working at home, including work in a home office, will be considered work-related if the injury or illness occurs while the employee is performing work for pay or compensation in the home, and the injury or illness is directly related to the performance of work rather than to the general home environment or setting. For example, if an employee drops a of work documents and injures his or foot, the case is considered work-related. If an employer's fingernail is punctured by a needle from a sewing machine used to perform garment work at home, becomes infected and requires medical treatment, the injury is considered work-related. If an employee is injured because he or she trips on the family dog while rushing to answer a work phone call, the case is not considered work-related. If an employee working at home is electrocuted because of faulty home wiring, the injury is not considered work-related."
How do I decide if an injury or illness involved a transfer to another job?,"If you assign an injured or ill employee to a job other than his or her regular job for part of the day, the case involves transfer to another job. Note: This does not include the day on which the injury or illness occurred."
How do I decide if the injury or illness resulted in restricted work?,"Restricted work occurs when, as the result of a work-related injury or illness: You keep the employee from performing one or more of the routine functions of his or her job, or from working the full workday that he or she would otherwise have been scheduled to work; or A physician or other licensed health care professional recommends that the employee not perform one or more of the routine functions of his or her job, or not work the full workday that he or she would otherwise have been scheduled to work."
How do I decide whether an injury or illness is work-related if the employee is on travel status at the time the injury or illness occurs?,"Injuries and illnesses that occur while an employee is on travel status are work-related if, at the time of the injury or illness, the employee was engaged in work activities ""in the interest of the employer."" Examples of such activities include travel to and from customer contacts, conducting job tasks, and entertaining or being entertained to transact, discuss, or promote business (work-related entrainment includes only entertainment activities being engaged in at the direction of the employer)."
How do I determine if an injury or illness is a privacy concern case?,You must consider the following injuries or illnesses to be privacy concern cases:An injury or illness to an intimate body part or the reproductive system;
How do I determine the correct NAICS code for my company or for individual establishments in my company?,"You can determine your NAICS code by using one of three methods: 1) You can use the search feature at the U.S. Census Bureau NAICS main webpage. In the search box for the most recent NAICS, enter a keyword that describes your kind of business. A list of primary business activities containing that keyword and the corresponding NAICS codes will appear. Choose the one that most closely corresponds to your primary business activity, or refine your search to obtain other choices. 2) Rather than searching through a list of primary business activities, you may also view the most recent complete NAICS structure with codes and titles by clicking on the link for the most recent NAICS on the U.S. Census Bureau NAICS main webpage. Then click on the two-digit Sector code to see all the NAICS codes under that Sector. Then choose the six-digit code of your interest to see the corresponding definition, as well as cross-references and index items, when available. 3) If you know your old SIC code, you can also find the appropriate 2002 NAICS code by using the detailed conversion (concordance) between the 1987 SIC and 2002 NAICS available in Excel format for download at the ""Concordances"" link at the U.S. Census Bureau NAICS main webpage. 4) You may also contact your nearest OSHA office or State agency for help in determining your NAICS code."
How do I determine the size of my company to find out if I qualify for the partial exemption for size?,"To determine if you are exempt because of size, you need to determine your company's peak employment during the last calendar year. If you had no more than 10 employees at any time in the last calendar year, your company qualifies for the partial exemption for size."
How do I determine whether an Over-The-Counter medication is considered prescription strength?,"When medications are available in both prescription and non-prescription strengths, the employer should consider the medication to be at prescription strength if it is given at a dosage above the dosage in the directions of the over-the counter or OTC form."
How do I determine whether or not a case is an occupational injury or one of the occupational illness categories in Section M of the OSHA 300 Log?,"The instructions that accompany the OSHA 300 Log contain examples of occupational injuries and the various types of occupational illnesses listed on the Log. If the case you are dealing with is on one of those lists, then check that injury or illness category. If the case you are dealing with is not listed, then you may check the injury or illness category that you believe best fits the circumstances of the case."
How do I find OSHA's Form 300 and 300A? I have looked on your website but cannot seem to find the actual form to print out.,The forms are located athttp://www.osha.gov/recordkeeping/RKforms.html
How do I handle a case if it is not obvious whether the precipitating event or exposure occurred in the work environment or occurred away from work?,In these situations you must evaluate the employee's work duties and environment to decide whether or not one or more events or exposures in the work environment either caused or contributed to the resulting condition or significantly aggravated a pre-existing condition.
How do I handle a case when a physician or other licensed health care professional recommends that the worker return to work but the employee stays at home anyway?,"In this situation, you must end the count of days away from work on the date the physician and other licensed health care professional recommends that the employee return to work."
"How do I handle vague restriction from a physician or other licensed health care professional, such as that the employee engage only in ""light duty"" or ""take it easy for a week""?","If you are not clear about the physician or other licensed health care professional's recommendation, you may ask that person whether the employee can do all of his or her routine job functions and work all of his or her normally assigned work shift. If the answer to both of these question is ""Yes,"" then the case does not involve a work restriction and does not have to be recorded as such. If the answer to one or both of these questions is ""No,"" the case involves restricted work and must be recorded as a restricted work case. If you' re unable to obtain this additional information from the physician or other licensed health care professional who recommended the restriction, record the injury or illness as a case involving restricted work."
How do I post the annual summary?,"You must post a copy of the annual summary in each establishment in a conspicuous place or places where notices to employees are customarily posted. You must ensure that the posted annual summary is not altered, defaced or covered by other material."
"How do I record a case in which a worker is injured or become ill on a Friday and reports to work on a Monday, and was not scheduled to work on the weekend?","You need to record this case only if you received information from a physician or other licensed health care professional indicating that the employee should not have worked, or should have performed only restricted work, during the weekend. If so, you must record the injury or illness as a case with days away from work or restricted work, and enter the day counts, as appropriate."
"How do I record a case in which a worker is injured or become ill on the day before scheduled time off such as a holiday, a planned vacation, or a temporary plant closing?","You need to record a case of this type only if you receive information from a physician or other health care professional indicating that the employee should not have worked, or should have performed only restricted work, during the scheduled time off. If so, you must record the injury or illness as a case with days away from work or restricted work, and enter the day counts, as appropriate."
"How do I record a case in which the employee was prescribed restricted work activity and we made it available, but the employee decides on his own, to refuse the restricted work and stays home instead?","In this situation, you count the days as days of restricted work activity as recommended by the physician or other licensed health care professional."
How do I record a case where the doctor recommends that the employee be placed restricted duty or job transfer but there are no restricted duty or job transfer jobs for this person to do therefore the employee was sent home by the company?,"You must count the days as days away from work. To count days as restricted days, restricted work activity must be made available to the employee."
How do I record a case where the worker works only for a partial work shift because of a work-related injury or illness?,"A partial day of work is recorded as a day of job transfer or restriction for recordkeeping purposes, except for the day on which the injury occurred or the illness began."
How do I record a work-related injury or illness that results in days away from work?,"When an injury or illness involves one or more days away, you must record the injury or illness on the OSHA 300 Log with a check mark in the space for cases involving days away and an entry of the number of calendar days away from work in the number of days column. If the employee is out for an extended period of time, you must enter an estimate of the days that the employee will be away, and update the day count when the actual number of days is known."
How do I record a work-related injury or illness that results in restricted work or job transfer?,"When a injury or illness involves restricted work or job transfer but does not involve death or days away from work, you must record the injury or illness on the OSHA 300 Log by placing a check mark in the space for job transfer or restriction and an entry of the number of restricted or transferred days in the restricted workdays column."
How do I record a work-related injury or illness that results in the employee's death?,"You must record an injury or illness that results in death by entering a check mark on the OSHA 300 Log in the space for cases resulting in death. You must also report any work-related fatality to OSHA within eight (8) hours, as required by § 1904.39."
"How do I record an injury if a physician or other licensed health care professional recommends a job restriction meeting OSHA's definition, AND the employer has temporary alternate work available, but the employee chooses not to come to work?","In this situation, you must record the case as a case involving restricted work activity and enter the count of days recommended by the physician or other licensed health care professional."
How do I record an injury or illness that involves medical treatment beyond first aid?,"If a work-related injury or illness results in medical treatment beyond first aid, you must record it on the OSHA 300 Log. If the injury or illness did not involve death, one or more days away from work, one or more days of restricted work, one or more days of job transfer, you enter a check mark in the box for cases where the employee received medical treatment but remained at work and was not transferred or restricted."
"How do I record an injury or illness when an employee of one of my establishments is injured or becomes ill while visiting or working at another of my establishments, or while working away from any of my establishments?","If the injury or illness occurs at one of your establishments, you must record the injury or illness on the OSHA 300 Log of the establishment at which the injury or illness occurred. If the employee is injured or becomes ill and is not at one of your establishments, you must record the case on the OSHA 300 Log at the establishment at which the employee normally works."
How do the 2007 to 2012 NAICS coding changes for the Full and Limited Service Restaurant Industries affect the exemption status of establishments in these industries?,"The list of partially exempt industries is based on 2007 NAICS codes. Under that coding system, restaurants are classified as NAICS 7221, Full-Service Restaurants, or NAICS 7222, Limited-Service Eating Places. Both of these industries are included in Appendix A to Subpart B of the Part 1904 regulation. The fact that these industries are now classified in 2012 NAICS 7225, Restaurants and Other Eating Places, does not change their partially exempt status."
How do we calculate an annual incident rate?,"You can compute the incidence rate for all recordable cases of injuries and illnesses using the following formula:Total number of injuries and illnesses X 200,000 / Number of hours worked by all employees = Total recordable case rate"
How do we calculate hours worked for the salaried employees? Do we use the actual hours on our time sheets or just 40 hours per week for salaried employees?,"If you track the actual hours worked, use that figure."
"How do we record time lost from work on injuries from prior years? For instance, an employee is injured in the year 2009, but has surgery related to the injury in 2010 and misses time out of work. Where and how should this lost time be recorded?","You only record the injury or illness once. You must enter the number of calendar days away for the injury or illness on the OSHA 300 Log for the year in which the injury or illness occurred. If the employee is still away from work because of the injury or illness when you prepare the annual summary, estimate the total number of calendar days you expect the employee to be away from work, use this number to calculate the total for the annual summary, and then update the initial log entry later when the day count is known or reaches the 180-day cap."
